aberration,a departure from what is normal or expected
benevolent,kind and generous
cacophony,a harsh mixture of sounds
diligent,showing persistent effort and care
ephemeral,lasting for a very short time
fathom,understand after much thought
gregarious,fond of company; sociable
harbinger,a person or thing that signals the approach of another
iconoclast,a person who attacks cherished beliefs or institutions
juxtapose,place or deal with close together for contrasting effect
kinetic,relating to or resulting from motion
labyrinth,a complicated irregular network of passages or paths
melancholy,a feeling of pensive sadness
nefarious,wicked or criminal
obfuscate,make obscure or unclear
paradigm,a typical example or pattern of something
quixotic,extremely idealistic; unrealistic and impractical
resilient,able to withstand or recover quickly from difficult conditions
sycophant,a person who acts obsequiously toward someone important
tenacious,tending to keep a firm hold of something
ubiquitous,present or found everywhere
verbose,using or expressed in more words than are needed
whimsical,playfully quaint or fanciful
xenophobia,dislike of or prejudice against people from other countries
yearn,have an intense feeling of longing for something
zeal,great energy or enthusiasm in pursuit of a cause or an objective
altruism,selfless concern for the well-being of others
brevity,concise and exact use of words in writing or speech
cognition,the mental action or process of acquiring knowledge
dexterity,skill in performing tasks with the hands
eloquent,fluent or persuasive in speaking or writing
fortitude,courage in pain or adversity
gratitude,the quality of being thankful
hierarchy,a system in which members of an organization are ranked according to relative status
imminent,about to happen
jovial,cheerful and friendly
kaleidoscope,a constantly changing pattern or sequence of elements
luminous,giving off light; bright or shining
meticulous,showing great attention to detail
nostalgia,a sentimental longing for the past
omniscient,knowing everything
panacea,a solution or remedy for all difficulties
quintessential,representing the most perfect example of a quality
rhetoric,the art of effective or persuasive speaking or writing
serendipity,the occurrence of events by chance in a happy or beneficial way
trepidation,a feeling of fear or anxiety about something that may happen
utopia,an imagined place or state of things in which everything is perfect
vicarious,experienced in the imagination through the feelings or actions of another person
wanderlust,a strong desire to travel
xylophone,a musical instrument played by striking a row of wooden bars
yoke,a wooden crosspiece that is fastened over the necks of two animals and attached to the plow or cart that they are to pull
zenith,the time at which something is most powerful or successful
ambiguous,open to more than one interpretation
bravado,a bold manner intended to impress or intimidate
charisma,compelling attractiveness or charm that can inspire devotion in others
dilemma,a situation in which a difficult choice has to be made
empathy,the ability to understand and share the feelings of another
facade,an outward appearance that is maintained to conceal a less pleasant reality
gullible,easily persuaded to believe something
harmony,the combination of simultaneously sounded musical notes to produce chords and chord progressions
integrity,the quality of being honest and having strong moral principles
jargon,special words or expressions that are used by a particular profession or group and are difficult for others to understand
kinship,a feeling of being close or connected to other people
lucid,expressed clearly; easy to understand
myriad,a countless or extremely great number
nuance,a subtle difference in or shade of meaning, expression, or sound
ominous,giving the impression that something bad or unpleasant is going to happen
paradox,a statement or situation that contradicts itself
quandary,a state of perplexity or uncertainty over what to do in a difficult situation
rapport,a close and harmonious relationship in which the people or groups concerned understand each other's feelings or ideas
stoic,a person who can endure pain or hardship without showing their feelings or complaining
taciturn,reserved or uncommunicative in speech; saying little
unanimous,fully in agreement
vivid,producing powerful feelings or strong, clear images in the mind
wistful,characterized by melancholy; longing
xenial,of or concerning hospitality towards guests
yield,produce or provide
zany,amusingly unconventional and idiosyncratic
affable,friendly, good-natured, or easy to talk to
beguile,charm or enchant, often in a deceptive way
candid,truthful and straightforward; frank
deft,neatly skillful and quick in one's movements
ebullient,cheerful and full of energy
fickle,changing frequently, especially as regards one's loyalties or affections
glib,fluent and voluble but insincere and shallow
haphazard,lacking any obvious principle of organization
inquisitive,having or showing an interest in learning things; curious
jeopardize,put (someone or something) into a situation in which there is a danger of loss, harm, or failure
kindle,light or set on fire
lethargic,affected by lethargy; sluggish and apathetic
mundane,lacking interest or excitement; dull
novice,a person new to and inexperienced in a job or situation
opaque,not able to be seen through; not transparent
penchant,a strong or habitual liking for something or tendency to do something
quell,put an end to (a rebellion or other disorder), typically by the use of force
rambunctious,uncontrollably exuberant; boisterous
sagacious,having or showing keen mental discernment and good judgment; wise or shrewd
tarnish,lose or cause to lose luster, especially as a result of exposure to air or moisture
unabashed,not embarrassed, disconcerted, or ashamed
voracious,wanting or devouring great quantities of food
wane,decrease in vigor, power, or extent; become weaker
